aqiMajorPollutant,airQualityLevel,observationDateTime,deviceStatus,airQualityIndex,id,co.avgOverTime,pm10.avgOverTime,pm2p5.avgOverTime,so2.avgOverTime,airTemperature.avgOverTime,o3.avgOverTime,atmosphericPressure.avgOverTime,uv.avgOverTime,illuminance.avgOverTime,relativeHumidity.avgOverTime,co2.avgOverTime,ambientNoise.avgOverTime,no2.avgOverTime
CO,SATISFACTORY,2022-01-01 20:01:10+05:30,ACTIVE,76,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,4.83,114.22,64.47,6.77,23.98,13.64,0.93,0.0,6.96,67.49,0.0,83.0,85.87
CO,MODERATE,2022-01-01 20:01:12+05:30,ACTIVE,107,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,6.93,110.21,56.09,12.13,25.29,0.01,0.94,0.0,5.42,66.66,531.25,70.4,98.6
NO2,MODERATE,2022-01-01 20:01:12+05:30,ACTIVE,103,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,2.51,153.61,93.8,8.51,25.2,12.81,0.93,0.0,5.02,62.37,99.52,77.75,94.78
PM2.5,VERY_POOR,2022-01-01 20:01:12+05:30,ACTIVE,360,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,2.64,198.22,126.15,3.02,25.98,0.02,0.94,0.0,1.88,63.17,310.41,73.17,91.53
PM2.5,VERY_POOR,2022-01-01 20:01:12+05:30,ACTIVE,304,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,4.62,217.83,103.46,4.36,25.07,0.0,0.94,0.0,3.28,69.52,0.0,68.75,110.39
PM2.5,POOR,2022-01-01 20:01:12+05:30,ACTIVE,243,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,3.12,83.2,51.41,0.17,24.5,3.31,0.94,0.0,4.27,68.46,0.0,63.11,127.26
PM2.5,VERY_POOR,2022-01-01 20:01:12+05:30,ACTIVE,310,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,0.97,130.68,89.63,1.15,23.35,15.08,0.94,0.0,1.22,71.91,538.32,75.62,56.66
PM2.5,VERY_POOR,2022-01-01 20:01:12+05:30,ACTIVE,360,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,2.64,198.22,126.15,3.02,25.98,0.02,0.94,0.0,1.88,63.17,310.41,73.17,91.53
PM2.5,VERY_POOR,2022-01-01 20:01:14+05:30,ACTIVE,307,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,5.59,175.12,110.82,10.42,25.2,27.62,0.94,0.0,8.06,69.87,11.17,85.84,79.29
PM2.5,VERY_POOR,2022-01-01 20:01:14+05:30,ACTIVE,307,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/d90466f6-a69a-6989-e54a-eddb4dc47fd4,5.59,175.12,110.82,10.42,25.2,27.62,0.94,0.0,8.06,69.87,11.17,85.84,79.29
