license_plate,serviceOnDuty,id,location/type,location/coordinates/0,location/coordinates/1,emergencyVehicleType,observationDateTime
KA51G5035,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.537788,13.080733,AMBULANCE,2022-01-01T10:29:57+05:30
KA02G1607,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.641731,12.961665,MOTORCYCLE AMBULANCE,2022-01-01T10:29:47+05:30
KA02G1615,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.794304,12.859797,MOTORCYCLE AMBULANCE,2022-01-01T10:29:46+05:30
KA51G5252,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.704536,13.017775,AMBULANCE,2022-01-01T10:29:54+05:30
KA51G5246,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.578636,12.804111,AMBULANCE,2022-01-01T10:29:51+05:30
KA51G5253,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.391014,13.099086,AMBULANCE,2022-01-01T10:29:48+05:30
KA51G5028,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.550484,12.973613,AMBULANCE,2022-01-01T10:29:55+05:30
KA01G6693,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.509743,12.806951,AMBULANCE,2022-01-01T10:29:51+05:30
KA51G5250,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.528404,13.071368,AMBULANCE,2022-01-01T10:29:51+05:30
KA40G430,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.553368,12.996358,AMBULANCE,2022-01-01T10:29:55+05:30
KA02G3769,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.592072,12.925264,AMBULANCE,2022-01-01T10:29:57+05:30
KA51G5028,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.550705,12.973763,AMBULANCE,2022-01-01T10:30:04+05:30
KA40G473,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.500259,12.951161,AMBULANCE,2022-01-01T10:30:05+05:30
KA02G1615,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.792831,12.860038,MOTORCYCLE AMBULANCE,2022-01-01T10:30:06+05:30
KA51G5022,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.569611,12.937857,AMBULANCE,2022-01-01T10:30:03+05:30
KA51G5250,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.528404,13.07137,AMBULANCE,2022-01-01T10:30:01+05:30
KA51G5256,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.651466,12.872562,AMBULANCE,2022-01-01T10:30:08+05:30
KA51G5235,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.798897,12.860396,AMBULANCE,2022-01-01T10:30:08+05:30
KA51G5246,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.578629,12.804111,AMBULANCE,2022-01-01T10:30:01+05:30
KA51G5240,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.711227,12.801135,AMBULANCE,2022-01-01T10:30:04+05:30
KA51G5253,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.391022,13.099089,AMBULANCE,2022-01-01T10:29:59+05:30
KA02G1658,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.514153,12.913493,MOTORCYCLE AMBULANCE,2022-01-01T10:30:02+05:30
KA01G6693,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.509743,12.806951,AMBULANCE,2022-01-01T10:30:00+05:30
KA01G6713,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.736671,13.036691,AMBULANCE,2022-01-01T10:30:08+05:30
KA40G425,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.594337,13.009626,AMBULANCE,2022-01-01T10:30:15+05:30
KA02G1615,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.791954,12.860155,MOTORCYCLE AMBULANCE,2022-01-01T10:30:16+05:30
KA51G5250,NO,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.528404,13.071368,AMBULANCE,2022-01-01T10:30:11+05:30
KA51G5235,YES,datakaveri.org/fb0924bef803e220e0d0bc8ceaf0a1f999442f32/rs.iudx.org.in/bengaluru-emergency-vehicles/ambulance-live,Point,77.797981,12.860251,AMBULANCE,2022-01-01T10:30:17+05:30
