uv/avgOverTime,o3/avgOverTime,pm2p5/avgOverTime,airQualityLevel,co2/avgOverTime,pm10/avgOverTime,co/avgOverTime,observationDateTime,deviceStatus,no2/avgOverTime,airTemperature/avgOverTime,illuminance/avgOverTime,ambientNoise/avgOverTime,aqiMajorPollutant,so2/avgOverTime,relativeHumidity/avgOverTime,id,atmosphericPressure/avgOverTime,airQualityIndex
0,0,69.44,POOR,7.29,113.02,5.95,2022-01-01T21:01:09+05:30,ACTIVE,101.05,25.1,5.54,81.81,PM2.5,4.71,65.4,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,230
0,0.03,83.01,POOR,35.64,127.78,5.49,2022-01-01T22:01:09+05:30,ACTIVE,93.38,24.42,4.3,80.68,PM2.5,4.29,68.24,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,224
0,0,69.4,POOR,10.3,111.43,5.1,2022-01-01T21:16:08+05:30,ACTIVE,94.74,24.96,4.74,81.82,PM2.5,3.95,66.21,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,224
0,0,72.72,POOR,14.06,112.3,4.48,2022-01-01T21:31:09+05:30,ACTIVE,83.5,24.79,4.05,81.18,PM2.5,3.63,66.9,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,224
0,0.03,83.7,POOR,35.81,129.62,5.35,2022-01-01T22:16:08+05:30,ACTIVE,89.74,24.27,4.39,81,PM2.5,3.96,68.84,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,218
0,0,79.96,POOR,25.66,122.85,5.18,2022-01-01T21:46:09+05:30,ACTIVE,87.46,24.6,3.83,80.34,PM2.5,4.1,67.55,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,224
0,0,67.13,POOR,0.64,109.03,5.87,2022-01-01T20:46:08+05:30,ACTIVE,95.1,25.24,5.15,81.52,PM2.5,4.74,64.49,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,230
0,0,60.28,POOR,0,99.75,5.65,2022-01-01T20:16:08+05:30,ACTIVE,95.35,25.64,5.75,82.55,PM2.5,4.76,62.63,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,230
0,0,63.67,POOR,0.1,104.97,5.76,2022-01-01T20:31:09+05:30,ACTIVE,94.73,25.43,5.35,81.97,PM2.5,4.64,63.55,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,230
0.02,5.99,40.73,POOR,0,71.57,1.44,2022-01-01T18:01:08+05:30,ACTIVE,45.94,29.99,617.51,83.02,PM2.5,1.38,51.36,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,252
0.01,2.51,41.98,POOR,0,71.64,2.21,2022-01-01T18:16:08+05:30,ACTIVE,55.39,29.36,331.61,83.05,PM2.5,1.98,52.77,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,242
0,0.17,53.84,POOR,0,89.91,5.38,2022-01-01T19:46:09+05:30,ACTIVE,85.97,26.15,7.21,83.06,PM2.5,4.26,60.62,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,235
0,1.12,53.49,POOR,0,86.83,3.88,2022-01-01T18:46:10+05:30,ACTIVE,62.73,28,38.72,82.93,PM2.5,2.95,55.71,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/f36b4669-628b-ad93-9970-f9d424afbf75,0.94,242
