route_id,trip_delay,license_plate,last_stop_arrival_time,trip_id,observationDateTime,trip_direction,vehicle_label,id,last_stop_id,actual_trip_start_time,location/type,location/coordinates/0,location/coordinates/1,speed
12D,1117,GJ05BX1378,10:08:25,17527270,2022-01-01T10:10:35+05:30,DN,P64,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2039,2022-01-01T09:42:03+05:30,Point,72.834411,21.177576,0
136U,605,GJ05BX2347,10:13:22,17533506,2022-01-01T10:15:02+05:30,UP,A38,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4015,2022-01-01T09:40:00+05:30,Point,72.758106,21.144182,0
126D,308,GJ05BX2508,,17528771,2022-01-01T10:15:06+05:30,DN,C103,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4011,2022-01-01T10:03:58+05:30,Point,72.772172,21.150794,0
136D,354,GJ05BX2498,10:13:58,17533694,2022-01-01T10:14:53+05:30,DN,A50,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,1008,2022-01-01T09:44:46+05:30,Point,72.830557,21.183591,9
22D,116,GJ05BX1501,10:17:26,17529851,2022-01-01T10:20:07+05:30,DN,A01,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4002,2022-01-01T10:10:36+05:30,Point,72.865421,21.21679,8
17AD,261,GJ05CU0594,10:17:50,17530281,2022-01-01T10:20:10+05:30,DN,E004,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2084,2022-01-01T09:46:50+05:30,Point,72.857561,21.212649,24
21U,159,GJ05CU1051,10:17:30,17531184,2022-01-01T10:20:10+05:30,UP,E005,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2081,2022-01-01T09:36:55+05:30,Point,72.871152,21.185491,0
13U,213,GJ05BX1806,10:15:35,17526385,2022-01-01T10:17:35+05:30,UP,A06,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2030,2022-01-01T06:01:24+05:30,Point,72.866912,21.215091,36
21U,861,GJ05CU1205,10:17:35,17531215,2022-01-01T10:20:10+05:30,UP,E010,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2068,2022-01-01T09:28:25+05:30,Point,72.85196,21.147294,43
13U,218,GJ05BX9504,10:20:00,17526499,2022-01-01T10:20:09+05:30,UP,A51,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4056,2022-01-01T08:54:56+05:30,Point,72.883011,21.189238,3
14D,339,GJ05CU2320,10:18:08,17532764,2022-01-01T10:20:13+05:30,DN,E014,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2690,2022-01-01T09:22:58+05:30,Point,72.784147,21.167356,16
126D,113,GJ05BX3391,10:18:57,17528772,2022-01-01T10:20:07+05:30,DN,C095,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2613,2022-01-01T10:07:24+05:30,Point,72.795465,21.167048,20
14U,331,GJ05CU2445,10:17:16,17532706,2022-01-01T10:20:11+05:30,UP,E017,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2021,2022-01-01T09:26:16+05:30,Point,72.849357,21.23899,0
17AU,57,GJ05CU0746,10:16:22,17530196,2022-01-01T10:20:12+05:30,UP,E001,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2085,2022-01-01T09:42:12+05:30,Point,72.847648,21.209062,0
17AD,42,GJ05CU2013,10:16:16,17530269,2022-01-01T10:20:11+05:30,DN,E025,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,1012,2022-01-01T10:09:56+05:30,Point,72.807572,21.199355,0
21D,298,GJ05CU2414,10:19:18,17531285,2022-01-01T10:20:13+05:30,DN,E029,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2074,2022-01-01T10:05:48+05:30,Point,72.87102,21.176545,36
14D,57,GJ05CU2330,10:17:37,17532786,2022-01-01T10:20:12+05:30,DN,E033,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2012,2022-01-01T09:50:37+05:30,Point,72.790012,21.221386,21
103VD,106,GJ05BZ0880,10:02:47,17531557,2022-01-01T10:20:11+05:30,DN,H157,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,6951,2022-01-01T07:46:23+05:30,Point,72.882433,21.279546,37
21D,185,GJ05CU2192,10:19:05,17531250,2022-01-01T10:20:10+05:30,DN,E040,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2068,2022-01-01T10:15:30+05:30,Point,72.866922,21.152455,45
254U,4891,GJ05BZ0625,09:18:23,17527707,2022-01-01T10:20:07+05:30,UP,H175,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4433,2022-01-01T08:08:03+05:30,Point,72.871802,21.162565,0
14D,76,GJ05CU2019,10:18:20,17532796,2022-01-01T10:20:10+05:30,DN,E044,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2013,2022-01-01T09:56:15+05:30,Point,72.794491,21.232338,50
14D,74,GJ05BX8526,10:19:47,17532543,2022-01-01T10:20:08+05:30,DN,H19,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4006,2022-01-01T09:13:53+05:30,Point,72.757545,21.143617,33
14D,58,GJ05BX8550,10:19:16,17532573,2022-01-01T10:20:07+05:30,DN,H21,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2007,2022-01-01T09:47:44+05:30,Point,72.800843,21.203163,45
17AU,179,GJ05BX8273,10:18:21,17530195,2022-01-01T10:20:00+05:30,UP,H09,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,1017,2022-01-01T09:35:36+05:30,Point,72.830393,21.211701,20
17AEU,38,GJ05BZ0059,09:45:13,17529869,2022-01-01T10:20:09+05:30,UP,H107,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4002,2022-01-01T09:18:41+05:30,Point,72.846285,21.151162,32
14U,327,GJ05BX8979,10:19:47,17532608,2022-01-01T10:20:07+05:30,UP,H23,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4040,2022-01-01T09:14:52+05:30,Point,72.847462,21.257721,16
402U,1596,GJ05BZ0790,10:17:05,17533543,2022-01-01T10:20:09+05:30,UP,H149,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2263,2022-01-01T08:56:16+05:30,Point,72.846263,21.208573,31
16U,1179,GJ05BZ1889,10:02:35,17526773,2022-01-01T10:20:07+05:30,UP,H243,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4252,2022-01-01T09:59:59+05:30,Point,72.891655,21.23426,30
16D,296,GJ05BZ2564,10:14:32,17526974,2022-01-01T10:20:08+05:30,DN,H267,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2074,2022-01-01T10:05:23+05:30,Point,72.870052,21.190139,1
13U,229,GJ05BZ2298,10:19:06,17526273,2022-01-01T10:20:10+05:30,UP,H257,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4038,2022-01-01T09:35:58+05:30,Point,72.876458,21.19012,38
17AD,4,GJ05BX8859,10:18:49,17530282,2022-01-01T10:20:09+05:30,DN,H28,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4034,2022-01-01T09:29:55+05:30,Point,72.91337,21.240284,13
16U,29,GJ05BZ2876,10:14:24,17526740,2022-01-01T10:20:08+05:30,UP,H303,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2028,2022-01-01T09:56:00+05:30,Point,72.866429,21.217357,19
103SD,352,GJ05BZ2677,10:19:20,17532335,2022-01-01T10:20:08+05:30,DN,H281,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4370,2022-01-01T09:46:04+05:30,Point,72.876972,21.237226,30
22U,48,GJ05BX1580,10:33:26,17529751,2022-01-01T10:34:36+05:30,UP,A02,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4039,2022-01-01T10:31:36+05:30,Point,72.851433,21.24756,0
17AD,711,GJ05CU2361,10:27:21,17530270,2022-01-01T10:34:41+05:30,DN,E031,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,1013,2022-01-01T10:19:16+05:30,Point,72.826366,21.21047,17
14D,75,GJ05CU2330,10:33:42,17532786,2022-01-01T10:34:42+05:30,DN,E033,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2004,2022-01-01T09:50:37+05:30,Point,72.796984,21.190514,37
21U,101,GJ05BX2258,10:30:59,17531145,2022-01-01T10:34:40+05:30,UP,A30,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2080,2022-01-01T09:53:36+05:30,Point,72.868184,21.19035,0
14U,323,GJ05CU2718,10:33:12,17532731,2022-01-01T10:34:42+05:30,UP,E039,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2008,2022-01-01T10:05:42+05:30,Point,72.793627,21.210847,24
