route_id,trip_delay,license_plate,last_stop_arrival_time,trip_id,observationDateTime,trip_direction,vehicle_label,id,last_stop_id,actual_trip_start_time,speed,location.type,location.coordinates
104D,77,GJ05BX3043,05:30:27,17541692,2022-01-02 05:41:28+05:30,DN,M04,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4449,2022-01-02T05:30:38+05:30,43.0,Point,"[72.850097, 21.165352]"
104D,77,GJ05BX3043,05:30:27,17541692,2022-01-02 05:41:28+05:30,DN,M04,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4449,2022-01-02T05:30:38+05:30,43.0,Point,"[72.850097, 21.165352]"
104D,77,GJ05BX3043,05:30:27,17541692,2022-01-02 05:41:39+05:30,DN,M04,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4449,2022-01-02T05:30:38+05:30,11.0,Point,"[72.849578, 21.165974]"
104D,77,GJ05BX3043,05:30:27,17541692,2022-01-02 05:41:39+05:30,DN,M04,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4449,2022-01-02T05:30:38+05:30,11.0,Point,"[72.849578, 21.165974]"
104D,77,GJ05BX3043,05:30:27,17541692,2022-01-02 05:41:59+05:30,DN,M04,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4449,2022-01-02T05:30:38+05:30,34.0,Point,"[72.849407, 21.166927]"
104D,77,GJ05BX3043,05:30:27,17541692,2022-01-02 05:41:59+05:30,DN,M04,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4449,2022-01-02T05:30:38+05:30,34.0,Point,"[72.849407, 21.166927]"
104D,77,GJ05BX3043,05:30:27,17541692,2022-01-02 05:42:09+05:30,DN,M04,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4449,2022-01-02T05:30:38+05:30,19.0,Point,"[72.849245, 21.167625]"
104D,77,GJ05BX3043,05:30:27,17541692,2022-01-02 05:42:09+05:30,DN,M04,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4449,2022-01-02T05:30:38+05:30,19.0,Point,"[72.849245, 21.167625]"
104D,77,GJ05BX3043,05:30:27,17541692,2022-01-02 05:42:18+05:30,DN,M04,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4449,2022-01-02T05:30:38+05:30,27.0,Point,"[72.849142, 21.168088]"
104D,77,GJ05BX3043,05:30:27,17541692,2022-01-02 05:42:18+05:30,DN,M04,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4449,2022-01-02T05:30:38+05:30,27.0,Point,"[72.849142, 21.168088]"
104D,77,GJ05BX3043,05:30:27,17541692,2022-01-02 05:42:39+05:30,DN,M04,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4449,2022-01-02T05:30:38+05:30,29.0,Point,"[72.848844, 21.169462]"
104D,77,GJ05BX3043,05:30:27,17541692,2022-01-02 05:42:39+05:30,DN,M04,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4449,2022-01-02T05:30:38+05:30,29.0,Point,"[72.848844, 21.169462]"
104D,77,GJ05BX3043,05:30:27,17541692,2022-01-02 05:42:48+05:30,DN,M04,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4449,2022-01-02T05:30:38+05:30,40.0,Point,"[72.848677, 21.170262]"
104D,77,GJ05BX3043,05:30:27,17541692,2022-01-02 05:42:48+05:30,DN,M04,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4449,2022-01-02T05:30:38+05:30,40.0,Point,"[72.848677, 21.170262]"
