trip_direction,license_plate,last_stop_id,trip_id,speed,observationDateTime,vehicle_label,route_id,id,last_stop_arrival_time,trip_delay,actual_trip_start_time,location.type,location.coordinates
UP,GJ05BX3511,2558,17600687,7,2022-01-08 05:30:03+05:30,M75,104U,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,05:28:04,307,2022-01-08T05:14:15+05:30,Point,"[72.857167, 21.161266]"
UP,GJ05BX3511,2558,17600687,7,2022-01-08 05:30:03+05:30,M75,104U,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,05:28:04,307,2022-01-08T05:14:15+05:30,Point,"[72.857167, 21.161266]"
UP,GJ05BX3511,2558,17600687,7,2022-01-08 05:30:03+05:30,M75,104U,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,05:28:04,307,2022-01-08T05:14:15+05:30,Point,"[72.857167, 21.161266]"
UP,GJ05BX3511,2558,17600687,7,2022-01-08 05:30:03+05:30,M75,104U,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,05:28:04,307,2022-01-08T05:14:15+05:30,Point,"[72.857167, 21.161266]"
UP,GJ05BX3511,2558,17600687,7,2022-01-08 05:30:03+05:30,M75,104U,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,05:28:04,307,2022-01-08T05:14:15+05:30,Point,"[72.857167, 21.161266]"
UP,GJ05BX3511,2558,17600687,7,2022-01-08 05:30:03+05:30,M75,104U,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,05:28:04,307,2022-01-08T05:14:15+05:30,Point,"[72.857167, 21.161266]"
UP,GJ05BX3511,2558,17600687,7,2022-01-08 05:30:03+05:30,M75,104U,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,05:28:04,307,2022-01-08T05:14:15+05:30,Point,"[72.857167, 21.161266]"
UP,GJ05BX3511,2558,17600687,7,2022-01-08 05:30:03+05:30,M75,104U,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,05:28:04,307,2022-01-08T05:14:15+05:30,Point,"[72.857167, 21.161266]"
DN,GJ05BX3043,4449,17600670,0,2022-01-08 05:30:04+05:30,M04,104D,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,,70,2022-01-08T05:11:52+05:30,Point,"[72.88409, 21.14048]"
DN,GJ05BX3043,4449,17600670,0,2022-01-08 05:30:04+05:30,M04,104D,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,,70,2022-01-08T05:11:52+05:30,Point,"[72.88409, 21.14048]"
DN,GJ05BX3043,4449,17600670,0,2022-01-08 05:30:04+05:30,M04,104D,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,,70,2022-01-08T05:11:52+05:30,Point,"[72.88409, 21.14048]"
DN,GJ05BX3043,4449,17600670,0,2022-01-08 05:30:04+05:30,M04,104D,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,,70,2022-01-08T05:11:52+05:30,Point,"[72.88409, 21.14048]"
DN,GJ05BX3043,4449,17600670,0,2022-01-08 05:30:04+05:30,M04,104D,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,,70,2022-01-08T05:11:52+05:30,Point,"[72.88409, 21.14048]"
DN,GJ05BX3043,4449,17600670,0,2022-01-08 05:30:04+05:30,M04,104D,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,,70,2022-01-08T05:11:52+05:30,Point,"[72.88409, 21.14048]"
DN,GJ05BX3043,4449,17600670,0,2022-01-08 05:30:04+05:30,M04,104D,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,,70,2022-01-08T05:11:52+05:30,Point,"[72.88409, 21.14048]"
